County Code,State Abbreviation,County Name,Total Number of Tax Returns,Total Number of Exemptions,Adjusted Gross Income (In Thousands),Wages and Salaries Incomes (In Thousands),Dividend Incomes (In Thousands),Interest Income (In Thousands)
51,ND,McIntosh County,1443,2806,$41297,$26453,$899,$3784
53,ND,McKenzie County,2133,4628,$120984,$68910,$1683,$4885
55,ND,McLean County,4151,8486,$184038,$120008,$3422,$8057
57,ND,Mercer County,3809,8244,$211300,$160045,$2691,$5666
59,ND,Morton County,12632,25577,$592725,$442262,$7777,$17455
61,ND,Mountrail County,3195,6729,$144857,$86495,$2243,$5347
63,ND,Nelson County,1657,3127,$62871,$33408,$1206,$4446
65,ND,Oliver County,857,1862,$41859,$29129,$419,$2048
67,ND,Pembina County,3641,7439,$178686,$105849,$2925,$9201
69,ND,Pierce County,2022,4129,$71484,$43989,$1049,$4055
71,ND,Ramsey County,5436,10727,$225316,$149425,$3859,$9423
73,ND,Ransom County,2644,5472,$113948,$81075,$1498,$4808
75,ND,Renville County,1154,2348,$58156,$30033,$865,$2280
77,ND,Richland County,7366,15180,$367014,$237460,$6008,$13715
79,ND,Rolette County,5480,12436,$162367,$128591,$859,$3002
81,ND,Sargent County,1889,3998,$93987,$56717,$2797,$5563
83,ND,Sheridan County,691,1310,$20583,$11140,$258,$1582
85,ND,Sioux County,1410,3416,$34271,$29878,$58,$577
87,ND,Slope County,310,627,$14192,$6053,$265,$1158
89,ND,Stark County,10762,21552,$531399,$363963,$7913,$17586
91,ND,Steele County,901,1887,$46977,$23474,$940,$2489
93,ND,Stutsman County,9720,18753,$429633,$288567,$9131,$18277
95,ND,Towner County,1144,2166,$43824,$21577,$706,$3394
97,ND,Traill County,3602,7482,$178547,$112306,$2542,$6593
99,ND,Walsh County,5485,10771,$228717,$143996,$3222,$10420
101,ND,Ward County,27172,54475,$1277306,$881047,$19824,$42193
103,ND,Wells County,2117,4199,$86953,$45328,$1847,$5865
105,ND,Williams County,9830,19375,$587898,$380459,$12509,$17182
1,OH,Adams County,13138,26856,$394885,$300015,$4013,$11908
3,OH,Allen County,49235,98336,$2149334,$1566832,$38725,$57639
5,OH,Ashland County,24458,48589,$1004561,$743450,$16329,$25193
7,OH,Ashtabula County,48568,96129,$1724272,$1300352,$26276,$37088
9,OH,Athens County,23278,43772,$855028,$605093,$15835,$23231
11,OH,Auglaize County,22496,46071,$1114305,$794004,$31265,$31659
13,OH,Belmont County,33674,63972,$1202304,$894740,$24243,$40290
15,OH,Brown County,20987,42718,$757327,$600766,$7806,$16383
17,OH,Butler County,161536,333970,$8708779,$6642744,$165336,$176624
19,OH,Carroll County,13521,27327,$502376,$371488,$6505,$11935
21,OH,Champaign County,18563,38132,$781186,$611226,$9347,$14246
23,OH,Clark County,66086,130273,$2676788,$1964101,$39204,$64635
25,OH,Clermont County,89082,185414,$4869795,$3847526,$81398,$85051
27,OH,Clinton County,20257,40907,$837188,$653045,$13431,$18821
29,OH,Columbiana County,51322,100868,$1878916,$1412064,$31195,$46359
31,OH,Coshocton County,17081,34187,$583708,$432506,$10882,$16039
33,OH,Crawford County,23316,44534,$792691,$584368,$12536,$21798
35,OH,Cuyahoga County,622105,1161580,$30473538,$22163145,$835075,$1093673
37,OH,Darke County,25465,51398,$1038277,$747016,$18106,$32897
39,OH,Defiance County,18839,38252,$854211,$616695,$11906,$24835
41,OH,Delaware County,69272,156249,$6148041,$4743778,$118665,$138174
43,OH,Erie County,38634,74242,$1672005,$1249400,$46272,$57664
45,OH,Fairfield County,63638,134592,$3247754,$2553333,$40520,$72540
47,OH,Fayette County,13863,26877,$502556,$377371,$7374,$12286
49,OH,Franklin County,539747,1034002,$27149291,$21187717,$487327,$594529
51,OH,Fulton County,20392,42641,$931423,$697905,$16842,$23655
53,OH,Gallia County,13815,28075,$506802,$372245,$11255,$15397
55,OH,Geauga County,40459,88433,$2979818,$2021327,$97234,$99898
57,OH,Greene County,70514,142054,$4060345,$2899306,$75755,$105893
59,OH,Guernsey County,19458,38484,$641377,$479552,$8126,$15542
61,OH,Hamilton County,378922,722840,$21869742,$15246291,$903560,$666339
63,OH,Hancock County,34718,69355,$1755752,$1300588,$37034,$45431
65,OH,Hardin County,13715,27608,$521807,$398523,$6534,$12026
67,OH,Harrison County,7566,14848,$239291,$178613,$5069,$6906
69,OH,Henry County,13899,28423,$615024,$456217,$7653,$18185
71,OH,Highland County,20246,41025,$676814,$523615,$9544,$17038
73,OH,Hocking County,13464,27343,$463429,$355076,$4857,$11197
75,OH,Holmes County,14495,34627,$593621,$363475,$8670,$20718
77,OH,Huron County,28865,59369,$1176859,$889588,$20348,$29666
79,OH,Jackson County,15635,31298,$506893,$395051,$5583,$13234
81,OH,Jefferson County,34390,64984,$1244108,$904344,$20152,$39503
83,OH,Knox County,26589,54475,$1109515,$804402,$17969,$28677
85,OH,Lake County,115016,221317,$5867769,$4409702,$107801,$170507
87,OH,Lawrence County,29184,58500,$955755,$762753,$9233,$19589
89,OH,Licking County,76082,154145,$3650488,$2791707,$60152,$77565
91,OH,Logan County,22555,45064,$973780,$746470,$11461,$21029
93,OH,Lorain County,140291,278650,$6802000,$5192532,$108969,$168891
95,OH,Lucas County,204430,396050,$9395751,$7009042,$172952,$246246
97,OH,Madison County,18220,37017,$830904,$629921,$8536,$19905
99,OH,Mahoning County,117062,221183,$4783672,$3401283,$108382,$164394
101,OH,Marion County,29386,58428,$1150805,$878793,$17909,$30283
103,OH,Medina County,77629,164116,$4737882,$3656294,$80303,$122489
105,OH,Meigs County,10460,21167,$330959,$253998,$2230,$7060
107,OH,Mercer County,19592,41318,$892684,$650100,$15864,$31322
109,OH,Miami County,49218,98534,$2358931,$1758136,$44036,$57736
111,OH,Monroe County,6993,14158,$224025,$166680,$2950,$6444
113,OH,Montgomery County,258693,493549,$12010637,$8618318,$265022,$353104
115,OH,Morgan County,6604,13331,$201251,$154043,$2503,$4790
117,OH,Morrow County,15071,31617,$615395,$479458,$4994,$11541
119,OH,Muskingum County,41134,81293,$1508587,$1132528,$35201,$41674
121,OH,Noble County,5600,11339,$180418,$144843,$2027,$4374
123,OH,Ottawa County,21123,40113,$990573,$695140,$18314,$31384
125,OH,Paulding County,9183,18913,$383331,$276104,$7675,$10525
127,OH,Perry County,16177,33656,$545106,$441226,$4842,$9945
129,OH,Pickaway County,23443,48511,$1017412,$786565,$10210,$22680
131,OH,Pike County,12520,26398,$408586,$311263,$5207,$10544
133,OH,Portage County,71492,139327,$3438174,$2646336,$54259,$85432
135,OH,Preble County,19934,40565,$807489,$610380,$10205,$18960
137,OH,Putnam County,16119,34645,$777240,$579340,$11790,$23964
139,OH,Richland County,59749,117169,$2383897,$1749372,$41570,$64978
141,OH,Ross County,34394,68326,$1302250,$1004642,$18313,$29001
143,OH,Sandusky County,30230,59142,$1208509,$923055,$19101,$28684
145,OH,Scioto County,33919,68623,$1137517,$855908,$16157,$30697
147,OH,Seneca County,27293,53643,$1033211,$784273,$14703,$26606
149,OH,Shelby County,23629,48315,$1085675,$820390,$19204,$27166
151,OH,Stark County,183155,356724,$8132891,$5965975,$158767,$234081
153,OH,Summit County,258864,498902,$13220090,$9822943,$290867,$400282
155,OH,Trumbull County,104592,200276,$4275348,$3028387,$74413,$132836
157,OH,Tuscarawas County,45967,91183,$1758927,$1303511,$27695,$50414
159,OH,Union County,21057,45990,$1198945,$990363,$12721,$19604
161,OH,Van Wert County,14116,28661,$575776,$421218,$8504,$15802
163,OH,Vinton County,5899,12096,$182603,$140226,$5788,$4958
165,OH,Warren County,88002,195458,$6227530,$4899374,$102927,$123936
167,OH,Washington County,29786,58414,$1166972,$842458,$22999,$34128
169,OH,Wayne County,52737,109626,$2349682,$1631012,$45405,$77740
171,OH,Williams County,18700,36956,$750411,$568851,$17419,$22849
173,OH,Wood County,55098,110023,$3020818,$2269525,$53760,$73526
175,OH,Wyandot County,11190,22005,$437282,$324659,$6802,$12998
1,OK,Adair County,9337,20746,$234072,$199743,$1266,$4724
3,OK,Alfalfa County,2052,4289,$81637,$51093,$857,$4621
5,OK,Atoka County,5952,12761,$199916,$138788,$969,$7670
7,OK,Beaver County,2048,4795,$104249,$64247,$1117,$4625
9,OK,Beckham County,8661,18427,$438583,$297314,$4599,$18672
11,OK,Blaine County,4342,9151,$163549,$115127,$1833,$6898
13,OK,Bryan County,16149,32885,$530449,$383235,$6981,$16913
15,OK,Caddo County,11667,25275,$399827,$290591,$2795,$14325
17,OK,Canadian County,44177,98270,$2444061,$1828424,$20026,$53032
19,OK,Carter County,20965,43429,$870678,$610801,$14802,$28083
21,OK,Cherokee County,17494,36950,$569636,$425625,$5164,$16667
23,OK,Choctaw County,6503,13389,$170422,$135248,$1184,$5519
25,OK,Cimarron County,1133,2472,$42587,$23572,$533,$2232
27,OK,Cleveland County,101112,208862,$5142006,$3888831,$56441,$164517
29,OK,Coal County,2219,4717,$80766,$52037,$620,$2781
31,OK,Comanche County,46299,99708,$1828950,$1364732,$19199,$38499
33,OK,Cotton County,2618,5507,$91604,$69754,$1225,$2230
35,OK,Craig County,6303,12796,$204579,$153645,$1809,$8624
37,OK,Creek County,30783,66192,$1323496,$972119,$15262,$36216
39,OK,Custer County,10410,22049,$481543,$322708,$8140,$18388
41,OK,Delaware County,16063,33481,$550424,$353155,$8654,$21779
43,OK,Dewey County,1986,4239,$86083,$54871,$1066,$4211
45,OK,Ellis County,1685,3460,$76827,$45589,$791,$2763
47,OK,Garfield County,26629,54541,$1212883,$809509,$21255,$44626
49,OK,Garvin County,12315,25433,$440649,$323804,$5534,$15620
51,OK,Grady County,20282,43938,$901504,$660353,$8570,$22086
53,OK,Grant County,1931,4028,$74750,$50924,$1515,$3816
55,OK,Greer County,2242,4644,$70197,$50758,$1035,$3015
57,OK,Harmon County,1205,2557,$34179,$25473,$465,$1963
59,OK,Harper County,1539,3371,$68145,$42218,$1192,$3668
61,OK,Haskell County,5331,11496,$161922,$124890,$1542,$4597
63,OK,Hughes County,5467,11231,$172068,$120334,$1540,$6125
65,OK,Jackson County,11190,24335,$431585,$323664,$4182,$10939
67,OK,Jefferson County,2589,5420,$74769,$57265,$842,$3007
69,OK,Johnston County,4602,9463,$131556,$105499,$1120,$3273
71,OK,Kay County,20592,42859,$865778,$588437,$17800,$29215
73,OK,Kingfisher County,6171,13605,$324279,$207229,$4777,$12240
75,OK,Kiowa County,4171,8503,$150832,$92235,$2800,$5733
77,OK,Latimer County,5145,10780,$191446,$135789,$1197,$5966
79,OK,Le Flore County,20138,43490,$669375,$492398,$4804,$16911
81,OK,Lincoln County,13584,29543,$504755,$392841,$3566,$12933
83,OK,Logan County,15835,34225,$774333,$578856,$9003,$19369
85,OK,Love County,3967,8213,$143450,$105116,$1627,$4075
87,OK,McClain County,13948,30982,$676900,$510826,$5645,$15354
89,OK,McCurtain County,14118,29772,$394371,$309428,$3449,$11968
91,OK,McIntosh County,8691,17211,$251146,$172248,$2019,$8345
93,OK,Major County,3181,6891,$140859,$92597,$1673,$5070
95,OK,Marshall County,6272,13109,$214161,$144390,$2171,$6913
97,OK,Mayes County,17677,37915,$635886,$480581,$7307,$19390
99,OK,Murray County,5589,11276,$202022,$144977,$2155,$6231
101,OK,Muskogee County,31013,64455,$1126113,$804330,$11393,$34797
103,OK,Noble County,5170,10787,$199334,$152757,$2960,$6979
105,OK,Nowata County,4664,9853,$173917,$124582,$1303,$4739
107,OK,Okfuskee County,4801,9942,$131947,$97229,$1070,$4114
109,OK,Oklahoma County,299195,602390,$14942263,$10352067,$256051,$448261
111,OK,Okmulgee County,17245,35836,$558171,$430341,$5453,$13978
113,OK,Osage County,18961,40154,$739350,$582818,$6293,$16299
115,OK,Ottawa County,14430,29734,$451165,$332787,$5305,$15768
117,OK,Pawnee County,6938,14760,$263139,$200563,$2179,$7496
119,OK,Payne County,26751,53598,$1259645,$858755,$24487,$37039
121,OK,Pittsburg County,19752,39584,$764411,$536979,$6931,$22929
123,OK,Pontotoc County,15896,32138,$597378,$431155,$6908,$20559
125,OK,Pottawatomie County,28739,60585,$1077662,$788174,$12009,$29986
127,OK,Pushmataha County,5062,10381,$134291,$102786,$1677,$4027
129,OK,Roger Mills County,1525,3257,$84798,$42851,$1193,$5767
131,OK,Rogers County,34837,78520,$1844191,$1405859,$15655,$41676
133,OK,Seminole County,10436,21805,$327359,$238676,$4469,$10910
135,OK,Sequoyah County,17823,37973,$573706,$405359,$4378,$14626
137,OK,Stephens County,19124,40165,$853039,$570324,$11199,$30552
139,OK,Texas County,8070,21178,$384665,$260105,$4881,$11511
141,OK,Tillman County,3483,7284,$96929,$73817,$1119,$3413
143,OK,Tulsa County,255839,539302,$14326020,$10001760,$309555,$492041
145,OK,Wagoner County,28235,63653,$1400316,$1090551,$11121,$27836
147,OK,Washington County,22713,47277,$1236396,$802634,$35404,$45882
149,OK,Washita County,4767,10337,$214887,$136675,$1605,$7554
151,OK,Woods County,3448,6771,$162545,$86881,$2225,$8306
153,OK,Woodward County,8262,17894,$441112,$295556,$5388,$12872
1,OR,Baker County,7443,14586,$268370,$164674,$7058,$15435
3,OR,Benton County,33516,66081,$2066437,$1333986,$69427,$81916
5,OR,Clackamas County,159371,334538,$10925170,$7409885,$251504,$372744
7,OR,Clatsop County,16289,31669,$718487,$445685,$16297,$25359
9,OR,Columbia County,21343,45201,$1076972,$809211,$13360,$25261
11,OR,Coos County,29283,55084,$1099364,$661540,$24556,$48798
13,OR,Crook County,9486,19684,$394404,$258345,$6641,$17834
15,OR,Curry County,10790,19798,$421374,$204295,$13553,$28745
17,OR,Deschutes County,69605,139843,$3925851,$2305932,$119733,$167743
19,OR,Douglas County,49064,96604,$1853542,$1200269,$40841,$70951
21,OR,Gilliam County,860,1694,$34959,$22331,$986,$1419
23,OR,Grant County,3268,6447,$120950,$82006,$2449,$6029
25,OR,Harney County,3212,6608,$103275,$78087,$1407,$4606
27,OR,Hood River County,9244,20507,$452546,$295381,$14669,$17309
29,OR,Jackson County,91911,181063,$4080869,$2543574,$113934,$191440
31,OR,Jefferson County,8779,19715,$342301,$233618,$5295,$12308
33,OR,Josephine County,37827,72958,$1393315,$798457,$33781,$73212
35,OR,Klamath County,28979,59102,$1176896,$768504,$21197,$38920
37,OR,Lake County,3403,6849,$111920,$78922,$1896,$5074
39,OR,Lane County,156089,296951,$7220365,$4768159,$169249,$279877
41,OR,Lincoln County,21551,39332,$875263,$482840,$23774,$41928
43,OR,Linn County,50439,105088,$2149368,$1520556,$29788,$63433
45,OR,Malheur County,11397,25426,$381336,$265835,$7302,$16925
47,OR,Marion County,128739,282251,$6042360,$4093549,$105122,$194794
49,OR,Morrow County,4290,10873,$178683,$132570,$1738,$4085
51,OR,Multnomah County,333859,610657,$17723517,$12698039,$443523,$540127
53,OR,Polk County,30135,65583,$1540715,$1031057,$28118,$50813
55,OR,Sherman County,814,1616,$36178,$18876,$700,$1355
57,OR,Tillamook County,11533,22533,$486285,$277492,$11702,$23868
59,OR,Umatilla County,29869,66890,$1208339,$900814,$14311,$34458
61,OR,Union County,11183,23011,$465779,$312583,$13911,$16840
63,OR,Wallowa County,3348,6493,$136029,$71920,$3912,$8363
65,OR,Wasco County,10675,21728,$431910,$276970,$10297,$16498
67,OR,Washington County,217510,468809,$14144508,$10797209,$281280,$387722
69,OR,Wheeler County,626,1208,$18574,$10561,$831,$1088
71,OR,Yamhill County,39036,86272,$1985673,$1399964,$38421,$61868
1,PA,Adams County,46646,95991,$2357122,$1736313,$40344,$63568
3,PA,Allegheny County,593606,1105488,$33424401,$23687537,$937200,$1388876
5,PA,Armstrong County,33925,66801,$1299370,$945395,$21751,$41339
7,PA,Beaver County,85186,164959,$3667707,$2770880,$57553,$99456
9,PA,Bedford County,24175,49176,$900265,$627496,$13780,$26320
11,PA,Berks County,189211,385970,$9816611,$7320391,$209434,$296069
13,PA,Blair County,61388,118633,$2424658,$1737218,$46680,$67499
15,PA,Bradford County,29273,59810,$1130197,$813721,$25506,$29963
17,PA,Bucks County,286983,601858,$22370707,$16579954,$505036,$710001
19,PA,Butler County,83467,174728,$5121475,$3803381,$113541,$139737
21,PA,Cambria County,69881,134693,$2663687,$1938185,$47204,$90312
23,PA,Cameron County,2684,5180,$97805,$67508,$3071,$3649
25,PA,Carbon County,31923,62023,$1290313,$958223,$22275,$38968
27,PA,Centre County,54620,106821,$2928846,$2047653,$78099,$99562
29,PA,Chester County,209720,464360,$20597443,$14730918,$676941,$656580
31,PA,Clarion County,18036,35661,$701383,$490668,$13762,$25069
33,PA,Clearfield County,38368,75415,$1400411,$1006912,$26785,$43338
35,PA,Clinton County,17507,34467,$638265,$467797,$11837,$14320
37,PA,Columbia County,29747,57940,$1241530,$926823,$24631,$37022
39,PA,Crawford County,40336,81635,$1541095,$1065039,$29226,$45067
41,PA,Cumberland County,108244,214338,$6526795,$4521066,$150861,$209381
43,PA,Dauphin County,130915,251279,$6680691,$5009331,$123798,$173373
45,PA,Delaware County,253312,508231,$17127426,$12531694,$481271,$596550
47,PA,Elk County,16508,32589,$693704,$501089,$16262,$28140
49,PA,Erie County,126917,251964,$5505579,$4028444,$133488,$154803
51,PA,Fayette County,67649,129061,$2368114,$1694530,$41427,$79184
53,PA,Forest County,2567,4690,$82745,$50866,$1405,$2754
55,PA,Franklin County,70137,142995,$3540255,$2430760,$71880,$119780
57,PA,Fulton County,7291,14634,$299591,$217527,$4800,$9327
59,PA,Greene County,17207,34354,$683183,$508855,$8344,$16866
61,PA,Huntingdon County,19978,39852,$753862,$540726,$11097,$19049
63,PA,Indiana County,37639,75287,$1607148,$1103992,$33443,$57414
65,PA,Jefferson County,22132,43893,$826204,$562995,$18741,$29325
67,PA,Juniata County,10809,22676,$430047,$307647,$5913,$15523
69,PA,Lackawanna County,103794,196718,$4492833,$3237705,$105022,$172506
71,PA,Lancaster County,234009,491743,$12697979,$8740916,$304644,$440314
73,PA,Lawrence County,43545,85881,$1745290,$1268679,$40058,$51127
75,PA,Lebanon County,63355,127860,$3002020,$2168864,$60088,$90217
77,PA,Lehigh County,164082,328965,$9073179,$6777704,$220127,$290968
79,PA,Luzerne County,157924,296043,$6553703,$4814840,$144161,$219494
81,PA,Lycoming County,54286,107016,$2213305,$1599191,$54094,$68684
83,PA,McKean County,20338,39867,$802096,$563190,$17218,$20637
85,PA,Mercer County,54787,108842,$2241795,$1571710,$52733,$78211
87,PA,Mifflin County,21865,44574,$777239,$563850,$10499,$22387
89,PA,Monroe County,70618,150613,$3594128,$2760370,$54095,$88006
91,PA,Montgomery County,355838,732714,$30798305,$21612408,$1084273,$1277664
93,PA,Montour County,8749,17393,$459887,$339006,$9949,$13471
95,PA,Northampton County,138354,279736,$7716922,$5814487,$170432,$233036
97,PA,Northumberland County,45789,88045,$1691355,$1266246,$40109,$53791
99,PA,Perry County,21718,44572,$969722,$753150,$10675,$22190
101,PA,Philadelphia County,672297,1230384,$24361302,$19614266,$374163,$622114
103,PA,Pike County,24467,53262,$1313096,$933779,$23254,$36561
105,PA,Potter County,8072,16688,$298094,$213267,$5407,$8346
107,PA,Schuylkill County,73179,139486,$2866821,$2132003,$49488,$89317
109,PA,Snyder County,17118,35226,$693227,$495297,$13191,$22740
111,PA,Somerset County,36857,72882,$1384564,$973482,$28012,$47300
113,PA,Sullivan County,3061,5659,$113114,$68925,$3590,$4298
115,PA,Susquehanna County,20071,40504,$803551,$545115,$19593,$24767
117,PA,Tioga County,18876,37959,$684021,$472019,$12675,$20755
119,PA,Union County,16290,34019,$811270,$541118,$21608,$26043
121,PA,Venango County,26618,52242,$978546,$690547,$24282,$26477
123,PA,Warren County,19836,38754,$814606,$563420,$20645,$23529
125,PA,Washington County,99713,196963,$5231077,$3771175,$94621,$160935
127,PA,Wayne County,23404,46429,$1039509,$665093,$27702,$40053
129,PA,Westmoreland County,179412,351082,$8845222,$6325109,$181231,$289415
131,PA,Wyoming County,13677,27219,$578528,$404502,$13321,$13717
133,PA,York County,202470,413710,$10904952,$8194785,$212149,$321491
1,RI,Bristol County,22441,44800,$1729489,$1163429,$54235,$64875
3,RI,Kent County,83456,159143,$4805962,$3648022,$73671,$136005
5,RI,Newport County,38878,73616,$2584689,$1701831,$79147,$93629
7,RI,Providence County,294616,555294,$13416623,$10303016,$225500,$411691
9,RI,Washington County,56771,112683,$3995470,$2684024,$102475,$132059
1,SC,Abbeville County,11252,23439,$354064,$272086,$3381,$8563
3,SC,Aiken County,67380,140455,$3097422,$2219485,$66158,$91951
5,SC,Allendale County,4388,8679,$102972,$79846,$1538,$2957
7,SC,Anderson County,82776,172466,$3374098,$2499710,$55541,$87559
9,SC,Bamberg County,6650,13393,$192724,$145299,$2389,$5098
11,SC,Barnwell County,9815,20508,$314938,$250133,$2982,$7150
13,SC,Beaufort County,66109,137057,$4477570,$2244083,$229340,$248087
15,SC,Berkeley County,73977,153535,$3174042,$2526226,$25604,$46616
